URL,url_length,has_ip_address,has_at_symbol,num_dots,num_hyphens,num_subdomains,is_https,has_port,url_depth,has_double_slash_redirect,domain_length,has_suspicious_keywords,path_length,query_length,num_special_chars,tld_in_path,domain_age_days,is_shortened_url,num_digits_in_domain,has_valid_ssl,Label
travcult.com/wp-includes/images/wlw/login.jsp.htm,49,0,0,3,0,0,0,0,4,0,0,1,49,0,0,1,-1,0,0,0,bad
recordsproject.com/county/north-dakota/lamoure.asp,50,0,0,2,0,0,0,0,3,0,0,0,50,0,0,1,-1,0,0,0,good
popmatters.com/pm/review/friday-night-lights/,45,0,0,1,0,0,0,0,4,0,0,0,45,0,0,1,-1,0,0,0,good
trailers.apple.com/trailers/wb/iamlegendawakening/,50,0,0,2,0,0,0,0,4,0,0,0,50,0,0,1,-1,0,0,0,good
www.cleds.vic.gov.au/retrievemedia.asp?Media_ID=20338,53,0,0,5,0,0,0,0,1,0,0,0,38,14,2,0,-1,0,0,0,good
twitpic.com/77wbtz,18,0,0,1,0,0,0,0,1,0,0,0,18,0,0,1,-1,0,0,0,good
www.capsta.com/ebay/libs/us/us/details.html?cmd=_login-run,58,0,0,3,0,0,0,0,5,0,0,1,43,14,2,1,-1,0,0,0,bad
mekka.com.br/1ytv66nc,21,0,0,2,0,0,0,0,1,0,0,0,21,0,0,1,-1,0,0,0,bad
yelp.ca/biz/commission-scolaire-de-la-pointe-de-lile-montreal-nord-12,69,0,0,1,0,0,0,0,2,0,0,0,69,0,0,0,-1,0,0,0,good
www.summersong.net/edgames/,27,0,0,2,0,0,0,0,2,0,0,0,27,0,0,1,-1,0,0,0,good
daylife.com/topic/Terence_Blanchard,35,0,0,1,0,0,0,0,2,0,0,0,35,0,0,1,-1,0,0,0,good
amayberrystateofmind.org/am.aspx,32,0,0,2,0,0,0,0,1,0,0,0,32,0,0,1,-1,0,0,0,good
my-secret-northern-ireland.com/,31,0,0,1,0,0,0,0,1,0,0,0,31,0,0,1,-1,0,0,0,good
en.wikipedia.org/wiki/Category:Mobile_technology,48,0,0,2,0,0,0,0,2,0,0,0,48,0,0,1,-1,0,0,0,good
pastehtml.com/view/bp3g79sap.html,33,0,0,2,0,0,0,0,2,0,0,0,33,0,0,1,-1,0,0,0,bad
westislandkarate.com/,21,0,0,1,0,0,0,0,1,0,0,0,21,0,0,1,-1,0,0,0,good
tremplin-belgium.be/wp-includes/pomo/ppbb/webscr.php?cmd=_flow&SESSION=0iyOqWIBX0N3rpBRjb-SrnX8kwSeMZdtAwUxe5vDvI7mxhdC6KjVI9jQcr4&dispatch=5885d80a13c0db1f8e263663d3faee8d9384d85353843a619606282,195,0,0,2,0,0,0,0,4,0,0,0,52,142,6,0,-1,0,0,0,bad
last.fm/music/Object+Beings,27,0,0,1,0,0,0,0,2,0,0,0,27,0,0,0,-1,0,0,0,good
photo.net/photodb/photo?photo_id=9497152,40,0,0,1,0,0,0,0,2,0,0,0,23,16,2,1,-1,0,0,0,good
188.127.230.5/module/272a5ad4a1b97a2ac874d6d3e5fff01d,53,1,0,3,0,0,0,0,2,0,0,0,53,0,0,0,-1,0,0,0,bad
angel-us.com/mark/victor.php,28,0,0,2,0,0,0,0,2,0,0,0,28,0,0,1,-1,0,0,0,good
prnewswire.com/news-releases/the-kansas-city-missouri-school-board-votes-to-approve-a-300-million-budget-58525237.html,118,0,0,2,0,0,0,0,2,0,0,0,118,0,0,1,-1,0,0,0,good
dmx2.com.br/data1/images/index.php,34,0,0,3,0,0,0,0,3,0,0,0,34,0,0,1,-1,0,0,0,bad
historicpreservationmiami.com/dorseyhouse.html,46,0,0,2,0,0,0,0,1,0,0,0,46,0,0,1,-1,0,0,0,good
www.clubtex.com/tmp/,20,0,0,2,0,0,0,0,2,0,0,0,20,0,0,1,-1,0,0,0,bad
www.jrgonzalezabogados.com/libraries/cms/language/websitesicredi/stiapp/,72,0,0,2,0,0,0,0,6,0,0,0,72,0,0,1,-1,0,0,0,bad
thebody.com/h/a-key-law-protecting-those-with-hiv.html,54,0,0,2,0,0,0,0,2,0,0,0,54,0,0,1,-1,0,0,0,good
support.flexispy.com/reports/sw_config/ID=4533951673/PayPal.co.uk/dispute_centre/wprst/ns&st.payment.decline.centre/index.html,126,0,0,8,0,0,0,0,8,0,0,0,126,0,2,1,-1,0,0,0,bad
i70.mobi/pc/Missouri-Exit-Westbound.html,40,0,0,2,0,0,0,0,2,0,0,0,40,0,0,0,-1,0,0,0,good
190.196.67.114/mail/lhenriqu.nsf/iNotes/,40,1,0,4,0,0,0,0,4,0,0,0,40,0,0,0,-1,0,0,0,bad
eastbay.citysearch.com/profile/603230802/antioch_ca/davita_antioch_dialysis_center.html,87,0,0,3,0,0,0,0,4,0,0,0,87,0,0,1,-1,0,0,0,good
