url_length,has_ip_address,has_at_symbol,num_dots,num_hyphens,num_subdomains,is_https,has_port,url_depth,has_double_slash_redirect,domain_length,has_suspicious_keywords,path_length,query_length,num_special_chars,tld_in_path,domain_age_days,is_shortened_url,num_digits_in_domain,has_valid_ssl,Result
43,0,0,1,0,0,0,0,1,0,11,0,8,16,2,0,-1,0,0,0,1
60,0,0,2,5,1,0,0,2,0,46,0,7,0,0,0,-1,0,0,0,1
63,0,0,2,0,0,0,0,3,0,20,1,36,0,0,0,-1,0,1,0,1
29,0,0,1,0,0,0,0,1,0,21,0,1,0,0,0,-1,0,0,0,0
54,0,0,3,0,1,0,0,3,0,18,0,25,3,2,0,-1,0,0,0,1
44,0,0,2,0,1,0,0,1,0,36,0,1,0,0,0,-1,1,0,0,0
34,0,0,2,0,0,0,0,2,0,13,0,14,0,0,0,-1,0,0,0,1
34,0,0,2,0,0,0,0,1,0,13,0,14,0,0,0,-1,0,0,0,1
29,0,0,2,0,0,0,0,1,0,13,0,9,0,0,0,-1,0,0,0,0
23,0,0,1,0,0,0,0,1,0,8,0,8,0,0,0,7877,0,0,0,1
30,0,0,2,0,0,0,0,1,0,14,0,9,0,0,0,-1,0,0,0,1
57,0,0,2,0,1,0,0,2,0,16,0,34,0,0,0,9246,0,0,0,0
29,0,0,2,1,1,0,0,2,0,17,0,5,0,0,0,-1,0,0,0,1
151,0,0,11,0,10,0,0,3,0,127,1,17,0,0,0,-1,0,59,0,1
57,0,0,2,0,0,0,0,1,0,22,0,28,0,0,0,7056,0,0,0,0
48,0,0,2,0,0,0,0,1,0,15,0,15,10,2,0,8407,0,0,0,0
58,0,0,1,0,0,0,0,4,0,17,0,34,0,0,0,1166,0,0,0,1
55,0,0,2,0,1,0,0,2,0,21,0,27,0,0,0,9149,0,0,0,0
39,0,0,1,0,0,0,0,1,0,11,0,21,0,0,0,11033,0,0,0,0
62,0,0,7,0,0,0,0,2,0,20,0,35,0,0,0,7379,0,0,0,0
27,0,0,1,0,0,0,0,1,0,8,0,12,0,0,0,-1,0,1,0,0
31,0,0,1,0,0,0,0,1,0,11,0,13,0,0,0,11033,0,0,0,0
41,0,0,2,0,1,0,0,2,0,16,0,18,0,0,0,9246,0,0,0,0
79,0,0,6,0,0,0,0,4,0,18,0,54,0,0,0,6204,1,0,0,1
85,0,0,5,0,1,0,0,8,0,15,0,63,0,0,1,5764,0,0,0,1
84,0,0,1,0,0,0,0,4,0,16,0,61,0,0,0,10035,0,0,0,0
38,0,0,2,0,0,0,0,2,0,14,0,17,0,0,0,11511,0,0,0,0
86,0,0,1,0,0,0,0,3,0,8,0,71,0,0,0,11235,0,0,0,0
38,0,0,1,0,0,0,0,1,0,11,0,6,13,2,0,7752,0,0,0,0
41,0,0,1,0,0,0,0,3,0,15,0,19,0,0,0,9770,0,0,0,0
38,0,0,2,0,1,0,0,1,0,22,0,9,0,0,0,9814,0,0,0,1
48,0,0,2,0,0,0,0,2,0,7,0,34,0,1,0,11335,0,0,0,0
49,0,0,2,0,0,0,0,2,0,16,0,26,0,0,0,8586,0,0,0,0
42,0,0,1,0,0,0,0,2,0,11,0,24,0,0,0,7752,0,0,0,0
47,0,0,2,1,0,0,0,3,0,10,0,30,0,0,0,-1,0,0,0,1
38,0,0,1,0,0,0,0,1,0,11,0,6,13,2,0,7752,0,0,0,0
51,0,0,3,0,1,0,0,1,0,24,0,20,0,0,0,1029,0,1,0,0
42,0,0,3,0,2,0,0,2,0,19,0,16,0,0,0,-1,0,0,0,0
90,0,0,1,0,0,0,0,3,0,18,0,65,0,0,0,8236,0,0,0,0
44,0,0,2,0,0,0,0,4,0,16,0,21,0,0,0,682,0,0,0,1
21,1,0,3,0,2,0,0,1,0,13,0,1,0,0,0,8306,0,10,0,1
42,0,0,3,0,1,0,0,1,0,18,0,17,0,0,0,2877,0,0,0,0
34,0,0,1,0,0,0,0,1,0,19,0,8,0,0,0,6471,0,0,0,1
17,0,0,1,0,0,0,0,1,0,9,0,1,0,0,0,-1,0,0,0,0
52,0,0,3,0,0,0,0,1,0,12,0,20,12,3,0,8339,0,0,0,0
20,0,0,1,0,0,0,0,1,0,12,0,1,0,0,0,9461,0,0,0,0
30,0,0,2,0,0,0,0,1,0,13,0,10,0,0,0,-1,0,0,0,0
77,0,0,1,0,0,0,0,1,0,6,0,64,0,0,0,11369,0,0,0,0
28,0,0,1,0,0,0,0,1,0,20,0,1,0,0,0,-1,0,0,0,0
74,0,0,1,0,0,0,0,2,0,20,0,47,0,0,0,5819,0,0,0,0
80,0,0,1,0,0,0,0,7,0,17,0,56,0,0,0,-1,0,0,0,1
83,0,0,3,0,1,0,0,6,0,21,0,55,0,0,0,10381,0,7,0,1
